epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
244,575.131,0.13895,0.56881,1,1.98999,0.0075943,0.0075943,0.0075943
245,577.56,0.17813,0.6055,1,2.01416,0.0075844,0.0075844,0.0075844
246,579.826,0.1388,0.53211,1,1.86792,0.0075745,0.0075745,0.0075745
247,582.012,0.15629,0.54128,1,2.01392,0.0075646,0.0075646,0.0075646
248,584.211,0.14728,0.53211,1,2.5603,0.0075547,0.0075547,0.0075547
249,586.433,0.13657,0.54128,1,2.31396,0.0075448,0.0075448,0.0075448
250,588.624,0.12812,0.54128,1,2.5459,0.0075349,0.0075349,0.0075349
251,591.09,0.17689,0.55963,1,2.50952,0.007525,0.007525,0.007525
252,593.358,0.12783,0.57798,1,1.7251,0.0075151,0.0075151,0.0075151
253,595.575,0.13518,0.53211,1,2.01636,0.0075052,0.0075052,0.0075052
254,597.748,0.14505,0.57798,1,2.37988,0.0074953,0.0074953,0.0074953
255,599.928,0.16239,0.56881,1,1.92883,0.0074854,0.0074854,0.0074854
256,602.092,0.11368,0.55963,1,1.91187,0.0074755,0.0074755,0.0074755
257,604.275,0.14341,0.57798,1,2.19019,0.0074656,0.0074656,0.0074656
258,606.464,0.1057,0.59633,1,2.07129,0.0074557,0.0074557,0.0074557
259,608.655,0.15477,0.54128,1,2.02734,0.0074458,0.0074458,0.0074458
260,610.798,0.14,0.6055,1,1.7793,0.0074359,0.0074359,0.0074359
261,612.985,0.13542,0.56881,1,2.11255,0.007426,0.007426,0.007426
262,615.169,0.14088,0.61468,1,1.64575,0.0074161,0.0074161,0.0074161
263,617.476,0.14697,0.58716,1,1.61914,0.0074062,0.0074062,0.0074062
264,619.849,0.12425,0.58716,1,1.59167,0.0073963,0.0073963,0.0073963
265,621.991,0.10035,0.6055,1,1.896,0.0073864,0.0073864,0.0073864
266,624.189,0.12829,0.55963,1,2.0061,0.0073765,0.0073765,0.0073765
267,626.348,0.11157,0.62385,1,1.79846,0.0073666,0.0073666,0.0073666
268,628.545,0.12706,0.55963,1,2.40088,0.0073567,0.0073567,0.0073567
269,630.717,0.12926,0.56881,1,1.99292,0.0073468,0.0073468,0.0073468
270,632.883,0.08478,0.56881,1,1.77222,0.0073369,0.0073369,0.0073369
271,635.054,0.11815,0.56881,1,1.79932,0.007327,0.007327,0.007327
272,637.279,0.11515,0.58716,1,1.97705,0.0073171,0.0073171,0.0073171
273,639.505,0.12219,0.61468,1,1.99878,0.0073072,0.0073072,0.0073072
